epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
51,518.857,1.18978,0.85624,1.46262,0.01861,0.82068,0.91176,0.90027,0.63303,1.08198,0.72044,1.51837,0.0111,0.00505,0.00505,0.00505
52,531.993,1.1755,0.86941,1.50072,0.01706,0.83438,0.88824,0.8992,0.54509,1.37048,0.78548,1.68335,0.03374,0.004951,0.004951,0.004951
53,547.928,1.16704,0.87568,1.46449,0.01763,0.83144,0.91765,0.91156,0.62042,1.11084,0.71967,1.56326,0.00904,0.004852,0.004852,0.004852
54,557.747,1.17432,0.88583,1.46708,0.01591,0.80354,0.93832,0.90806,0.59988,1.16216,0.74633,1.59878,0.0117,0.004753,0.004753,0.004753
55,567.257,1.18261,0.87636,1.48208,0.01708,0.80751,0.88824,0.90596,0.61774,1.15094,0.78182,1.58349,0.01346,0.004654,0.004654,0.004654
56,581.868,1.19482,0.89862,1.51073,0.01959,0.81797,0.91765,0.89239,0.62282,1.10832,0.75149,1.554,0.00989,0.004555,0.004555,0.004555
57,598.245,1.14958,0.85163,1.4355,0.01807,0.79709,0.94739,0.90264,0.61334,1.13522,0.70553,1.59486,0.01,0.004456,0.004456,0.004456
58,615.427,1.18578,0.87768,1.44933,0.01885,0.80423,0.94244,0.90639,0.59422,1.18398,0.72855,1.61417,0.00792,0.004357,0.004357,0.004357
59,631.338,1.14862,0.83528,1.46111,0.01583,0.84596,0.94118,0.90597,0.61587,1.14121,0.70784,1.58252,0.01133,0.004258,0.004258,0.004258
60,647.291,1.16865,0.86384,1.44985,0.01477,0.8102,0.94118,0.92079,0.6238,1.12454,0.7087,1.55799,0.00974,0.004159,0.004159,0.004159
61,664.045,1.19677,0.87935,1.48561,0.01759,0.83892,0.93529,0.91796,0.65312,1.06867,0.6919,1.56459,0.00908,0.00406,0.00406,0.00406
62,680.546,1.15804,0.84357,1.4737,0.01716,0.81536,0.93516,0.9069,0.59215,1.2014,0.74488,1.57448,0.01797,0.003961,0.003961,0.003961
63,696.7,1.15832,0.85209,1.44147,0.01496,0.81363,0.89412,0.88375,0.5234,1.39306,0.85398,1.69981,0.03879,0.003862,0.003862,0.003862
64,708.937,1.11961,0.81378,1.45536,0.01355,0.82019,0.92353,0.90949,0.6488,1.06561,0.70848,1.51647,0.0083,0.003763,0.003763,0.003763
65,718.333,1.10382,0.80133,1.43652,0.01425,0.82676,0.95446,0.91631,0.63376,1.12112,0.6926,1.56765,0.00913,0.003664,0.003664,0.003664
66,727.859,1.11504,0.8283,1.43477,0.01553,0.83486,0.92187,0.90927,0.6296,1.08679,0.72967,1.54955,0.00756,0.003565,0.003565,0.003565
67,737.398,1.08519,0.80281,1.42175,0.01465,0.81488,0.93529,0.9177,0.64969,1.04767,0.67395,1.50432,0.00959,0.003466,0.003466,0.003466
68,746.714,1.10638,0.79415,1.42046,0.01354,0.82704,0.95637,0.92798,0.64987,1.02241,0.66341,1.48761,0.00832,0.003367,0.003367,0.003367
69,756.124,1.0905,0.80661,1.39866,0.01184,0.82343,0.96012,0.91631,0.63254,1.06659,0.66872,1.55625,0.00745,0.003268,0.003268,0.003268
70,765.481,1.07549,0.78336,1.40844,0.01303,0.84225,0.94118,0.91497,0.63614,1.07486,0.66123,1.52003,0.01084,0.003169,0.003169,0.003169
71,774.835,1.05524,0.80165,1.38798,0.01342,0.83964,0.92402,0.92141,0.63454,1.05596,0.68075,1.53161,0.00736,0.00307,0.00307,0.00307
72,784.282,1.06418,0.76341,1.40944,0.01401,0.85698,0.92941,0.92904,0.64459,1.08818,0.68013,1.51458,0.01266,0.002971,0.002971,0.002971
73,793.637,1.06588,0.79706,1.39813,0.01357,0.85525,0.93838,0.91898,0.65564,1.02417,0.66898,1.51254,0.00686,0.002872,0.002872,0.002872
74,802.997,1.06524,0.7598,1.40456,0.01501,0.82468,0.94118,0.92083,0.65541,1.0277,0.66172,1.52273,0.0106,0.002773,0.002773,0.002773
75,812.285,1.06486,0.77853,1.41622,0.0127,0.86827,0.92353,0.91719,0.64972,1.04278,0.66321,1.52636,0.00914,0.002674,0.002674,0.002674
76,821.74,1.07315,0.75741,1.40087,0.01362,0.85818,0.94706,0.93582,0.67211,0.98895,0.63767,1.46782,0.00478,0.002575,0.002575,0.002575
77,833.608,1.01337,0.74019,1.33989,0.01173,0.86232,0.93529,0.91925,0.65782,1.01218,0.65215,1.49573,0.0044,0.002476,0.002476,0.002476
78,849.506,1.03061,0.78302,1.37535,0.01119,0.85721,0.95294,0.91266,0.64829,1.02239,0.65947,1.49525,0.00577,0.002377,0.002377,0.002377
79,864.852,0.98819,0.70091,1.35201,0.01079,0.84934,0.92852,0.91261,0.65234,0.99797,0.65498,1.49782,0.0056,0.002278,0.002278,0.002278
80,874.35,0.98246,0.72151,1.36587,0.00991,0.86674,0.93529,0.92952,0.65679,0.98362,0.6382,1.49656,0.00628,0.002179,0.002179,0.002179
